# WHICH BOOKS ARE INDEXED — measured 20 September 2026, and CORRECTED the same
# day after the first measurement got it wrong three times over.
#
# WHY. Row 54 turned on the discovery that the Karlobag baptisms are INDEXED:
# searchable as text, with both parents, so four walls became lookups instead of
# a walk through 327 images. Every register row in the work list depends on
# whether that is true elsewhere, because an indexed book is a search box and an
# unindexed one is a sitting.
#
# ===================================================================
# READ THIS BEFORE THE TABLE. THE SEARCH HIDES COLLECTIONS FROM YOU.
# ===================================================================
#
# The persona search returns a RANKED, CAPPED result set — about sixty rows.
# When a parish holds several indexed collections, a broad query returns the
# best-ranked ones and THE OTHERS DO NOT APPEAR AT ALL. They are not absent.
# They are below the cut.
#
# The first version of this file was built from broad per-surname queries and
# concluded, in capitals, that «across every parish this archive uses, the index
# is a BAPTISM index — not one parish marriage register and no parish death
# register before 1891 is indexed anywhere». THAT WAS WRONG, and it was
# disproved within the hour by one query narrowed to a date range:
#
#   Hungary, Croatia-Slavonia, MARRIAGES, from 1678 to 1927   holds Senj
#   Hungary, Croatia-Slavonia, DEATHS,    from 1681 to 1990   holds Senj
#
# The Senj marriage of Zvonimir Vukelić and Milka Papić — 1907, question 1c —
# is in that marriage index, with both sets of parents. It had been sitting
# behind a query that was too broad to show it.
#
# SO: NARROW BY DATE. `q.birthLikeDate.from/to` in twenty- or fifty-year windows
# surfaces collections a bare surname query never will. And probe a parish with
# TWO surnames, because one can miss a whole collection on its own — Krivi Put
# under Prpić returns gravestones and nothing else, under Tomljanović it returns
# an indexed baptism register.
#
# AND A «DEATHS» COLLECTION IS OFTEN NOT A REGISTER. «Croatia, Lika-Senj,
# Deaths, from 1500 to 2024» is the FIND A GRAVE INDEX — gravestones this
# archive already holds in graves.json — and «World, Deaths, from 7729 BC» is
# the same kind of thing. Neither is a parish death register. The Hungary,
# Croatia-Slavonia one IS.
#
# WHAT THE WINDOWS MEAN. Each window is `birthLikeDate`, so it filters on the
# PERSON'S BIRTH and not on the event. «death [1780s]» means a person born then
# has an indexed death record — it does not date the death register itself.
# Presence is what this table measures. It does not measure completeness, and
# the Karlobag Luckinić holding — SEVEN entries for a family that was there for
# generations — is the standing reminder of how partial it can be.
#
# parish|collection|event|windows probed|note
Senj|Croatia, Church Books, 1516-1994|baptism|1680s 1780s 1850s 1900s|
Senj|Croatia, Lika-Senj, Religious, from 1621 to 1920|baptism|1680s 1780s 1850s 1900s|a FOURTH Senj collection the first pass never saw
Senj|Hungary, Croatia-Slavonia, Births, from 1653 to 1922|baptism|1680s 1780s 1850s 1900s|
Senj|Croatia, Lika-Senj, Births, from 1689 to 1898|baptism|1680s|
Senj|Hungary, Croatia-Slavonia, Marriages, from 1678 to 1927|marriage|confirmed 1885, 1907|INDEXED. The first version of this file said it was not
Senj|Hungary, Croatia-Slavonia, Deaths, from 1681 to 1990|death|1900s|INDEXED. The first version of this file said it was not
Senj|Croatia, Lika-Senj, Deaths, from 1500 to 2024|—|1850s 1900s|FIND A GRAVE, not a register. Do not count it
Otočac|Croatia, Church Books, 1516-1994|baptism|place-only census 1700-1869|MEASURED 20 Sept: the index runs 1830-1858 AND STOPS. Births 1700-1799 return ZERO; 1800-1829 one stray (Dabar, 1816); 1830-1834 return 83, 1835-1837 return 200, 1855-1859 return 200 — and 1860-1864, 1865-1869, 1870-1874, 1875-1879 ALL RETURN ZERO. That is the filmed book, 1834-1858, and nothing after it. Ahnentafel 5, born 1867, is outside both
Otočac|Austria, Küstenland, Births, from 1536 to 1919|baptism|place-only census 1700-1869|a second collection, and the one carrying 1848-58 — and the one carrying 1836-38 as «Otočac, Küstenland, Austria». Same 1830 floor
Karlobag|Croatia, Church Books, 1516-1994|baptism|1680s 1780s 1850s 1900s|
Karlobag|Croatia, Lika-Senj, Births, from 1689 to 1898|baptism|1680s 1780s 1850s 1900s|reaches 1733 in practice — the earliest baptism index here
Krivi Put|Hungary, Croatia-Slavonia, Births, from 1653 to 1922|baptism|1780s 1850s|found ONLY under Tomljanović; Prpić returns gravestones
Krivi Put|Hungary, Croatia-Slavonia, Deaths, from 1681 to 1990|death|1780s 1850s|a real death register index
Novi Vinodolski|Hungary, Croatia-Slavonia, Births, from 1653 to 1922|baptism|place-only census 1650-1899|MEASURED 20 Sept and MUCH WIDER than this row used to claim: dense in EVERY window from 1651 to 1899, 300 of 300 fetched. Row 32's book, and Klenovica's parish — 101 of this archive's people are at Klenovica
Novi Vinodolski|Hungary, Croatia-Slavonia, Births, from 1653 to 1922|burial|place-only census 1860-1899|BURIALS TOO, and only from 1860: ~25 per cent of rows in the 1860-1899 windows are burials and none appears before
Crikvenica|Croatia, Delnice Deanery Catholic Church Books, 1571-1926|baptism|place-only census 1750-1899|RESTORED 20 Sept — it was in the FIRST coverage table and the rewrite dropped it. Dense 1750-1858 and ZERO from 1860. Its 448 surnames are Crikvenica-town ones (Czar, Lovrich, Skiljan, Xuppan) and NOT this archive's: Klenovica belongs to Novi Vinodolski, not here
Krmpote|Hungary, Croatia-Slavonia, Births, from 1653 to 1922|baptism|1880-1894 observed|matches the film, which begins 1879 and not 1815 as the catalogue says
Smiljan|Hungary, Croatia-Slavonia, Births, from 1653 to 1922|baptism|1834-1857 observed|too late for ahnentafel 426, a generation of about 1700
Grižane|Croatia, Church Books, 1516-1994|baptism|1854 observed|one hit; treat as untested, not as coverage
Selce|Croatia, Church Books, 1516-1994|baptism|place-only, 1700-1899|FIVE entries, 1803-1844, not zero. Place string is bare «Selce, Croatia» — WHICH Selce is unconfirmed. The surname probe missed them: this row said «tested under Antić» and one of the five is «Margaritam ANTICH, 7 Nov 1844»
Brinje|—|none|1700s 1800s 1860s + place-only 1700-1899|NOTHING. Re-confirmed 20 Sept by place-only probe, which names no surname at all — so this zero is not a spelling artefact
Ledenice|Croatia, Church Books, 1516-1994|baptism|place-only, 1700-1899|FOUR entries in two centuries — 1748, 1749, 1845, 1888 — so not zero, but not a register either. Row 33 stays a film read IN PRACTICE. The 1888 one is «Marija Milka, 16 May 1888, Luka Kalanj × Kata», who IS in the tree with the year alone
Bribir|Croatia, Church Books, 1516-1994|death|place-only, narrow windows 1750-1839|WRONG BEFORE. «Bribir, Primorsko-goranska» has a real indexed DEATH register — 80+ records found, deaths dated 1843-1855 — plus baptisms 1858-1876. BEWARE: a wide window returns «Bribir, Šibenik», a different place 200km away, and it outranks ours 593 to 7
Sinac|—|none|1700s 1800s 1860s + place-only 1700-1899|NOTHING. Re-confirmed 20 Sept by place-only probe
Gospić|—|none|1700s 1800s 1860s + place-only 1700-1899|NOTHING. Re-confirmed 20 Sept by place-only probe
Smokvica|—|none|1730s 1800s 1850s + place-only|NOTHING for OUR Smokvica. A place-only probe returns ten burials at «Smokvica, Mestna občina Koper, SLOVENIA» — a different village in a different country. The Blažević home village is still not indexed at all
#
# 20 SEPTEMBER 2026, SECOND PASS. Every row that said «broad only» has been
# re-tested with the date-window method this file demands, under two surnames
# each. All of them came back empty a second time, so they are zeros rather
# than untested gaps: Brinje, Bribir, Sinac, Gospić, Ledenice, and Selce
# re-checked. Smokvica Krmpotska was added and is empty too.
#
# AND THAT IS THE WHOLE BLAŽEVIĆ SIDE. Smokvica, Krmpote before 1880 and
# Ledenice are all unindexed, which is why ahnentafel 16 and 32 cannot be
# reached from a search box and row 33 is a film read. The indexing in this
# archive's country is a KARLOBAG-OTOČAC-SENJ phenomenon: the mother's side
# is searchable and the father's side is not.
#
# ====================================================================
# 20 SEPTEMBER 2026, THIRD PASS — AND THE ZEROS ABOVE WERE NOT ALL ZEROS
# ====================================================================
#
# Everything above was measured with a SURNAME. Hours later, ahnentafel 52's
# baptism was found at Karlobag filed under «Piberich» — a surname that occurs
# exactly once in the parish and is one clerk's reading of one hand. If a
# surname can hide a person, it can hide a PARISH, and every zero in this file
# was produced by naming two surnames and seeing nothing come back.
#
# SO THE ZEROS WERE RE-TESTED WITH A PROBE THAT NAMES NO SURNAME AT ALL:
# q.anyPlace plus a date window, counting only the rows whose returned place
# string actually matches. Controls first — Karlobag and Senj return 100 of 100
# in every window, so the instrument works.
#
#   Bribir     WRONG.  80+ indexed deaths and baptisms to 1876
#   Selce      WRONG.  five baptisms 1803-1844
#   Ledenice   WRONG in letter, right in practice. four entries in two centuries
#   Brinje     zero confirmed
#   Sinac      zero confirmed
#   Gospić     zero confirmed
#   Smokvica   zero confirmed for OUR Smokvica
#
# TWO WAYS THIS PROBE LIES, and both were caught here rather than published:
#
#   IT RETURNS THE WRONG VILLAGE. «Bribir» is two places — ours in Primorsko-
#   goranska and one near Šibenik — and the Šibenik one outranks ours 593 to 7.
#   «Smokvica» returned a Slovenian village near Koper. ALWAYS READ THE PLACE
#   STRING BACK; never trust the query you sent.
#
#   IT HAS FALSE NEGATIVES OF ITS OWN. A place-only probe of KRMPOTE returned
#   zero in every window — and this archive holds an indexed Krmpote-Vodice
#   baptism of 1895 found the same day by surname. The row above stands. Neither
#   probe is authoritative alone; a zero means «not found by this instrument».
#
# WHAT DOES NOT CHANGE. The headline below still holds, and Selce is the reason
# it is worth restating rather than deleting: the Blažević side is unindexed and
# the mother's side is searchable. What changes is that «unindexed» was too
# strong for three parishes, and one of them holds ahnentafel 12, 24 and 25.
#
# 20 SEPTEMBER 2026, FOURTH PASS — what the rewrite had dropped.
#
# The first coverage table, index-coverage.psv, held EIGHT parishes. This file
# holds fifteen and was built fresh rather than from it, so anything the old one
# had and the new one did not simply vanished. Checked, and one parish had:
# CRIKVENICA, restored above.
#
# Two other claims of the old table were re-tested and do NOT reproduce:
#
#   «Novi Vinodolski: 4 death» — a place-only census of 1,800 rows returns
#   baptisms and burials and NO deaths. Burials are indexed and dated from 1860.
#
#   «Senj also under the Latin place string SENIA (14 birth, 14 burial,
#   11 death)» — q.anyPlace=Senia returns NOTHING. Either the place string was
#   never right or it has been normalised away since. Senj's own rows stand.
#
# NEITHER is recorded as a correction to the old table, because a probe that
# fails to reproduce a result is not the same as a probe that disproves it.
