# Croatian-relevant captions harvested from the MyHeritage photo library.
# Swept 13 Sep 2026 by reading the Photo World grid's DOM (see tools/fetch_media.md).
# 3,359 of 4,500 items were reached; 1,519 carried a usable caption; these 26 name
# one of the nine surnames this archive publishes, or a place in its gazetteer.
# A caption is MyHeritage's claim about an image, not evidence. STATUS: new = not
# yet in sources/media/manifest.psv or site/src/data/media.json.
#
# mid|caption|status
4000073|Ljubomir Blazevic|held
4000079|Karmela Karmen Karic (born Blazevic)|new
4500601|Milka Blazevic (Papic)|held
4500806|Tereza Zubricic|held
4502256|Tereza Grave - Senj (2004)|held
4502600|Nicolaus Zubrinic Birth|held
4503230|Franka and Mile Prpic Marriage_3QS7-L99X-17FV|held
4503270|Josip Papic|held
4503459|Crikvenica Defranceski Grave Site (2019)|new
4503717|Crikvenica Gravestone (2019)|new
4503751|Zora Kalanj Baptism|new
4503758|Ivan Kalanj - 1900|new
4503763|Franciska Kalanj 1896 Birth|new
4503765|Ana Kalanj 1894 birth|new
4504041|Ljubo and maybe Peco at Senj Castle|held
4504046|Blazevic Family in Senj|held
4504060|Josip and Lucija Prpic Marriage|held
4504087|Ivan Blazevic Birth 1882|held
4505521|Antonija Perpic - 1859 Birth|held
4505823|Angelicam Boras - 1867 Birth|held
4505828|Josip Papic - 1890 Birth|held
4507027|Milka Papic Blazevic|held
4507711|Status Annum - Our Lady of Snow Parish, Krivi Put, Lika-Senj, Croatia|new
4507816|Ana Kalanj Defranceski Birth|new
4507818|Lovro Kalanj Klenovica|new
4507819|Lovro Kalanj Klenovica|new
