# Which parish register a village's events are written in, and what that parish
# holds. Ranges are CATALOGUE LABELS from the FamilySearch waypoints, checked
# 13 September 2026 by opening each waypoint — not by opening each film.
#
# Krmpote is the warning: catalogued 1815-1896, the film begins 1879. Any range
# below marked "unverified" has not been tested against its film.
#
# sources/familysearch/holdings.psv goes one level deeper: the CONTENTS OF EACH
# FILM, volume by volume, with the DGS number that reopens it.
#
# parish|villages (comma-separated, lowercased, no diacritics)|births|marriages|deaths|verified
Senj|senj|1734-1894|1734-1858,1859-1920|1820-1858,1859-1907|marriages verified end to end
Otocac|otocac,prozor,sumecica|1834-1858|1859-1872|1780-1836,1834-1858,1859-1872|marriages verified images 129-147
Krmpote-Vodice|smokvica krmpotska,krmpote,krmpotske vodice,sv. jakov,kermpote|1879-1896|none|none|VERIFIED — label says 1815, film begins 1879
Krivi Put|krivi put,mrzli dol,sojatski dolac lika-senj,klaricevac|1847-1884|1871-1894|1878-1934|catalogue-verified 14 Sept 2026 — film notes agree with the waypoint label
Novi Vinodolski|novi vinodolski,klenovica,povile|1650-1900|1674-1859|1704-1899|VERIFIED — the film target itself says 1650-1786; earliest leaves are in CROATIAN, not Latin
Ledenice|ledenice|1734-1894|1734-1882|1734-1902|catalogue-verified 14 Sept 2026 — film notes agree with the waypoint label
Selce|selce|1778-1861|1790-1878|1790-1886|catalogue-verified 14 Sept 2026 — film notes agree with the waypoint label
Grizane|grizane|1692-1886|1735-1858|1735-1894|census VERIFIED — Stanje dusa 1738 at images ~100-140 of the 579-image film, in CROATIAN, household lists
Sinac|sinac|1834-1901|none|1834-1913|catalogue-verified 14 Sept 2026 — film notes agree with the waypoint label
Jablanac|jablanac|1860-1895|1860-1906|1860-1890|catalogue-verified 14 Sept 2026 — film notes agree with the waypoint label
Brinje|brinje|1888-1900|1888-1899|1888-1899|catalogue-verified 14 Sept 2026 — film notes agree with the waypoint label
Crikvenica|crikvenica,selce jadranovo|1815-1896|1798-1908|1815-1908|catalogue-verified 14 Sept 2026 — film notes agree with the waypoint label
Dramalj, Sv. Jelena|sv. jelena,dramalj|1816-1858|1815-1858|1816-1858|catalogue-verified 14 Sept 2026 — film notes agree with the waypoint label — one film only, nothing after 1858
Karlobag|karlobag|1691-1770,1771-1804,1804-1861|1736-1804,1804-1861|1774-1804,1804-1861|VERIFIED 14 Sept 2026 - all three films opened. Also a Stanje dusa, 122 images, HDA 715 - by FAMILY number (no house numbers in this parish), alphabetical ONCE (images 8-75, then later additions running into the 1870s), communion columns 1844-1857
Trsat (Rijeka)|trsat,sv. jelena trsat|1646-1879|1650-1858|1654-1889|catalogue-verified 14 Sept 2026 — separate parish above Rijeka; births stop 1879
Bribir|bribir|1678-1736,1815-1886|1678-1738,1815-1821,1853-1900|1678-1744,1787-1898|catalogue-verified 14 Sept 2026 — ITS OWN PARISH, previously filed here as a village of Grizane
Sv. Juraj (kod Senja)|sv. juraj,jurjevo,lukovo|1697-1852|1703-1782,1793-1868|1695-1858|catalogue-verified 14 Sept 2026 — not previously in this table
Jurjevo|jurjevo|1858-1888|none|1858-1896|catalogue-verified 14 Sept 2026 — the later books of the same place
Rijeka|rijeka,susak|1594-1891,1900-1901|1590-1891|1702-1892|CATALOGUE-VERIFIED 14 Sept 2026 — it IS filmed, 1590-1920, and was carried here as "not checked". BUT births jump 1891 -> 1900, so LJUBOMIR'S 1892 BAPTISM IS IN THE GAP and is not on film. Marriages 1866-1891 (DGS 5497940) end at 9 AUGUST 1891 - read to the end 14 Sept 2026, April to August has no Blazevic and no Zubrinic, and a marriage after that date is in the SAME FILMING GAP as Ljubomir's baptism. Alphabetical Kazalo indexes exist for births and deaths
Gologorica|gologorica|unknown|unknown|unknown|Istria — likely a different collection entirely
Vrbnik|vrbnik|1849-1880|1815-1899|1862-1901|catalogue-verified 14 Sept 2026 — film notes agree with the waypoint label. NOTE the 1806 page read here is NOT in this range — births on film begin 1849, so that reading came from another parish's book and needs re-siting
